symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2026-08-03 11:09:00+00:00,750.7485,750.7485,750.7423,750.7423,663.0,13.0,750.747341
SPY,2026-08-03 11:10:00+00:00,750.8,750.8,750.8,750.8,1090.0,29.0,750.8
SPY,2026-08-03 11:11:00+00:00,750.77,750.81,750.77,750.81,228.0,17.0,750.788056
SPY,2026-08-03 11:12:00+00:00,750.76,750.85,750.76,750.8198,4172.0,40.0,750.820494
SPY,2026-08-03 11:13:00+00:00,750.85,750.85,750.82,750.82,175.0,23.0,750.833333
SPY,2026-08-03 11:14:00+00:00,750.8427,750.88,750.8,750.865,560.0,24.0,750.843235
SPY,2026-08-03 11:15:00+00:00,750.88,750.89,750.8251,750.89,625.0,22.0,750.864677
SPY,2026-08-03 11:16:00+00:00,750.88,751.0,750.88,751.0,1489.0,43.0,750.912727
SPY,2026-08-03 11:17:00+00:00,751.0,751.14,751.0,751.14,1033.0,45.0,751.076439
SPY,2026-08-03 11:19:00+00:00,751.08,751.14,751.0,751.13,11631.0,87.0,751.034793
SPY,2026-08-03 11:20:00+00:00,751.13,751.19,751.13,751.1831,453.0,30.0,751.174933
SPY,2026-08-03 11:21:00+00:00,751.22,751.22,750.96,750.98,26178.0,227.0,751.051722
SPY,2026-08-03 11:22:00+00:00,751.0,751.18,751.0,751.07,1049.0,30.0,751.097454
SPY,2026-08-03 11:23:00+00:00,751.0772,751.12,751.03,751.03,1678.0,32.0,751.081413
SPY,2026-08-03 11:24:00+00:00,751.0238,751.03,750.99,750.99,676.0,23.0,751.011673
SPY,2026-08-03 11:25:00+00:00,750.98,751.0,750.95,750.97,40947.0,508.0,750.96787
SPY,2026-08-03 11:26:00+00:00,750.97,751.08,750.96,751.08,12681.0,142.0,750.971029
SPY,2026-08-03 11:27:00+00:00,750.99,751.0,750.94,750.96,30161.0,89.0,750.951912
SPY,2026-08-03 11:28:00+00:00,751.0,751.0,750.99,750.99,660.0,27.0,750.995185
SPY,2026-08-03 11:29:00+00:00,751.0881,751.1,751.01,751.01,437.0,28.0,751.074447
SPY,2026-08-03 11:30:00+00:00,751.01,751.55,750.97,751.4,6820.0,158.0,751.275343
SPY,2026-08-03 11:31:00+00:00,751.45,751.45,751.39,751.39,1660.0,30.0,751.398433
SPY,2026-08-03 11:32:00+00:00,751.3923,751.4,751.3923,751.4,201.0,16.0,751.394867
SPY,2026-08-03 11:33:00+00:00,751.37,751.43,751.36,751.4,3049.0,28.0,751.384701
SPY,2026-08-03 11:34:00+00:00,751.4358,751.45,751.4,751.4,820.0,36.0,751.428935
SPY,2026-08-03 11:35:00+00:00,751.4009,751.51,751.4009,751.4892,6711.0,80.0,751.49745
SPY,2026-08-03 11:36:00+00:00,751.41,751.46,751.35,751.35,25743.0,77.0,751.355534
SPY,2026-08-03 11:37:00+00:00,751.37,751.37,751.2515,751.2515,3911.0,99.0,751.338966
SPY,2026-08-03 11:38:00+00:00,751.2,751.2,751.02,751.03,2230.0,106.0,751.06632
SPY,2026-08-03 11:39:00+00:00,751.07,751.07,751.0,751.0,860.0,39.0,751.035563
SPY,2026-08-03 11:40:00+00:00,750.9,750.97,750.9,750.95,643.0,37.0,750.951511
SPY,2026-08-03 11:41:00+00:00,750.95,750.95,750.95,750.95,140.0,28.0,750.95
SPY,2026-08-03 11:42:00+00:00,750.973,751.0,750.95,750.95,664.0,29.0,750.98325
SPY,2026-08-03 11:43:00+00:00,750.97,750.97,750.97,750.97,214.0,21.0,750.97
SPY,2026-08-03 11:44:00+00:00,751.1,751.11,751.1,751.11,367.0,22.0,751.105
SPY,2026-08-03 11:45:00+00:00,751.25,751.25,751.18,751.25,852.0,38.0,751.219382
SPY,2026-08-03 11:46:00+00:00,751.2437,751.2437,751.2437,751.2437,165.0,18.0,751.2437
SPY,2026-08-03 11:47:00+00:00,751.149,751.149,751.149,751.149,79.0,20.0,751.149
SPY,2026-08-03 11:48:00+00:00,751.19,751.19,751.01,751.01,4819.0,70.0,751.091109
SPY,2026-08-03 11:49:00+00:00,751.0102,751.2,751.0102,751.12,1474.0,34.0,751.13324
SPY,2026-08-03 11:50:00+00:00,751.13,751.13,751.07,751.07,683.0,16.0,751.112922
SPY,2026-08-03 11:51:00+00:00,750.98,751.01,750.9,750.9,508.0,38.0,750.953603
SPY,2026-08-03 11:52:00+00:00,750.87,750.8987,750.8,750.8,981.0,67.0,750.837392
SPY,2026-08-03 11:53:00+00:00,750.75,750.78,750.63,750.66,4292.0,87.0,750.733907
SPY,2026-08-03 11:54:00+00:00,750.74,750.75,750.59,750.59,8785.0,108.0,750.645416
SPY,2026-08-03 11:55:00+00:00,750.57,750.575,750.54,750.55,7508.0,151.0,750.553727
SPY,2026-08-03 11:56:00+00:00,750.44,750.51,750.44,750.48,12922.0,128.0,750.490335
SPY,2026-08-03 11:57:00+00:00,750.48,750.55,750.46,750.5,6920.0,77.0,750.4986
SPY,2026-08-03 11:58:00+00:00,750.56,750.56,750.4531,750.51,522.0,38.0,750.496572
SPY,2026-08-03 11:59:00+00:00,750.51,750.6,750.45,750.6,3110.0,58.0,750.494811
SPY,2026-08-03 12:00:00+00:00,750.58,750.58,750.38,750.38,15352.0,149.0,750.501114
SPY,2026-08-03 12:01:00+00:00,750.36,750.38,750.35,750.37,2912.0,59.0,750.362503
SPY,2026-08-03 12:02:00+00:00,750.37,750.5,750.37,750.4785,1558.0,39.0,750.471011
SPY,2026-08-03 12:03:00+00:00,750.4,750.46,750.35,750.35,852.0,29.0,750.397191
SPY,2026-08-03 12:04:00+00:00,750.4,750.51,750.35,750.35,19710.0,162.0,750.43172
SPY,2026-08-03 12:05:00+00:00,750.43,750.44,750.2959,750.2959,3961.0,64.0,750.32902
SPY,2026-08-03 12:06:00+00:00,750.34,750.4,750.3,750.3,12824.0,118.0,750.372431
SPY,2026-08-03 12:07:00+00:00,750.27,750.27,750.24,750.25,7053.0,96.0,750.25027
SPY,2026-08-03 12:08:00+00:00,750.31,750.4,750.31,750.4,999.0,26.0,750.336065
SPY,2026-08-03 12:09:00+00:00,750.3994,750.42,750.35,750.35,7052.0,63.0,750.356887
SPY,2026-08-03 12:10:00+00:00,750.35,750.4,750.24,750.26,31406.0,238.0,750.305394
SPY,2026-08-03 12:11:00+00:00,750.24,750.26,750.2,750.24,952.0,44.0,750.21834
SPY,2026-08-03 12:12:00+00:00,750.28,750.31,750.24,750.28,957.0,38.0,750.282444
SPY,2026-08-03 12:13:00+00:00,750.26,750.49,750.26,750.49,2360.0,40.0,750.325539
SPY,2026-08-03 12:14:00+00:00,750.5,750.5,750.46,750.49,1128.0,41.0,750.488818
SPY,2026-08-03 12:15:00+00:00,750.49,750.65,750.49,750.6198,1704.0,45.0,750.576317
